date,Hour,GMTHour,ScheduledDepartures,DeparturesFor MetricComputation,DelayedGateDepartures,% DelayedGateDepartures,AverageMinutesOf DelayPer DelayedGateDeparture,ScheduledArrivals,ArrivalsFor MetricComputation,DelayedGateArrivals,% DelayedGateArrivals,AverageMinutesOf DelayPer DelayedGateArrival
17-Sep-19,3,7,0,0,0,0,0,2,2,0,0,0
17-Sep-19,4,8,1,1,0,0,0,5,5,1,20,15
17-Sep-19,5,9,8,8,1,12.5,32,15,19,1,5.26,53
17-Sep-19,6,10,18,18,1,5.56,36,21,25,3,12,46.67
17-Sep-19,7,11,34,39,4,10.26,26.25,25,25,2,8,36.5
17-Sep-19,8,12,48,50,4,8,33.5,16,20,1,5,28
17-Sep-19,9,13,31,34,1,2.94,38,20,20,0,0,0
17-Sep-19,10,14,17,17,1,5.88,44,25,25,1,4,23
17-Sep-19,11,15,37,37,4,10.81,36.25,23,25,2,8,47
17-Sep-19,12,16,22,20,3,15,17.33,31,31,1,3.23,53
17-Sep-19,13,17,23,25,0,0,0,39,38,1,2.63,28
17-Sep-19,14,18,32,33,4,12.12,26.5,47,45,2,4.44,79
17-Sep-19,15,19,34,34,5,14.71,65.6,35,34,4,11.76,47.25
17-Sep-19,16,20,35,35,5,14.29,29.8,35,33,2,6.06,58.5
17-Sep-19,17,21,31,32,8,25,43.63,36,36,2,5.56,34
17-Sep-19,18,22,35,33,2,6.06,25,33,33,2,6.06,142
17-Sep-19,19,23,46,46,9,19.57,56.89,27,28,3,10.71,29
17-Sep-19,20,0,28,26,1,3.85,20,42,41,3,7.32,73.33
17-Sep-19,21,1,38,37,5,13.51,25.2,24,26,0,0,0
17-Sep-19,22,2,21,23,6,26.09,48.17,34,35,4,11.43,42
17-Sep-19,23,3,20,18,4,22.22,35.75,29,29,3,10.34,39.33
18-Sep-19,0,4,8,7,2,28.57,27.5,16,17,0,0,0
18-Sep-19,1,5,8,7,2,28.57,30,0,1,0,0,0
18-Sep-19,2,6,4,5,1,20,15,1,1,0,0,0
18-Sep-19,3,7,0,0,0,0,0,2,2,0,0,0
18-Sep-19,4,8,1,1,0,0,0,5,5,1,20,43
18-Sep-19,5,9,8,8,2,25,28.5,18,18,1,5.56,17
18-Sep-19,6,10,17,19,3,15.79,55.67,18,26,4,15.38,37.5
18-Sep-19,7,11,37,39,3,7.69,20,26,27,2,7.41,53
18-Sep-19,8,12,47,48,1,2.08,23,19,18,1,5.56,20
18-Sep-19,9,13,31,35,3,8.57,56.33,21,18,0,0,0
18-Sep-19,10,14,17,18,0,0,0,24,25,2,8,31
18-Sep-19,11,15,35,36,5,13.89,40.2,25,27,3,11.11,30.67
18-Sep-19,12,16,23,21,3,14.29,46.33,33,33,0,0,0
18-Sep-19,13,17,25,27,2,7.41,102,39,37,2,5.41,46.5
18-Sep-19,14,18,31,32,3,9.38,23.67,46,44,0,0,0
18-Sep-19,15,19,34,35,3,8.57,39.67,36,38,5,13.16,50
18-Sep-19,16,20,35,35,7,20,24.86,36,32,4,12.5,33.75
18-Sep-19,17,21,30,33,10,30.3,47.9,38,38,3,7.89,54
18-Sep-19,18,22,37,33,8,24.24,24.25,31,30,0,0,0
18-Sep-19,19,23,47,45,6,13.33,23,26,26,4,15.38,28
18-Sep-19,20,0,29,27,4,14.81,20.5,44,43,5,11.63,52.6
18-Sep-19,21,1,36,37,6,16.22,20.33,23,24,2,8.33,48
18-Sep-19,22,2,23,24,6,25,41.67,37,36,5,13.89,47.2
18-Sep-19,23,3,24,21,4,19.05,51.75,27,25,2,8,30
19-Sep-19,0,4,9,9,1,11.11,17,17,16,1,6.25,25
19-Sep-19,1,5,6,5,0,0,0,0,0,0,0,0
19-Sep-19,2,6,2,2,0,0,0,1,2,1,50,18
19-Sep-19,3,7,3,2,0,0,0,3,2,0,0,0
19-Sep-19,4,8,2,1,0,0,0,6,5,0,0,0
19-Sep-19,5,9,8,8,0,0,0,19,21,4,19.05,32.25
19-Sep-19,6,10,20,20,0,0,0,19,24,4,16.67,36
19-Sep-19,7,11,38,40,3,7.5,56,26,27,2,7.41,24.5
19-Sep-19,8,12,49,50,4,8,89,20,18,2,11.11,23
19-Sep-19,9,13,33,36,1,2.78,22,21,17,0,0,0
19-Sep-19,10,14,17,21,1,4.76,42,25,27,2,7.41,35.5
19-Sep-19,11,15,39,37,4,10.81,60,23,23,1,4.35,60
19-Sep-19,12,16,23,22,4,18.18,33.5,34,32,1,3.13,26
19-Sep-19,13,17,24,24,4,16.67,29.5,39,39,6,15.38,22.17
19-Sep-19,14,18,31,32,6,18.75,25.67,46,43,3,6.98,32.67
19-Sep-19,15,19,33,34,5,14.71,35,38,39,5,12.82,66.2
19-Sep-19,16,20,37,37,4,10.81,47,35,31,3,9.68,45.33
19-Sep-19,17,21,35,37,7,18.92,49.29,39,39,7,17.95,57.43
19-Sep-19,18,22,37,36,8,22.22,33.13,34,37,8,21.62,59.25
19-Sep-19,19,23,48,49,13,26.53,43.85,26,24,2,8.33,24
19-Sep-19,20,0,29,27,5,18.52,56.2,44,43,3,6.98,28.33
19-Sep-19,21,1,40,42,4,9.52,41,25,27,4,14.81,28.5
19-Sep-19,22,2,24,24,6,25,26.67,40,40,2,5,30
19-Sep-19,23,3,24,22,3,13.64,30.33,27,27,1,3.7,51
20-Sep-19,0,4,8,8,0,0,0,17,18,4,22.22,81.75
20-Sep-19,1,5,9,8,2,25,32.5,2,0,0,0,0
20-Sep-19,2,6,4,4,0,0,0,2,1,0,0,0
20-Sep-19,3,7,0,0,0,0,0,2,3,1,33.33,101
20-Sep-19,4,8,1,1,0,0,0,5,6,1,16.67,75
20-Sep-19,5,9,8,8,1,12.5,19,18,20,2,10,23.5
20-Sep-19,6,10,19,19,1,5.26,30,20,23,4,17.39,49
20-Sep-19,7,11,38,39,3,7.69,56,27,30,5,16.67,52.2
20-Sep-19,8,12,48,51,7,13.73,29.71,21,20,2,10,24
20-Sep-19,9,13,32,33,1,3.03,21,20,19,0,0,0
20-Sep-19,10,14,17,19,4,21.05,23.75,24,28,3,10.71,43
20-Sep-19,11,15,39,42,4,9.52,25.75,23,22,2,9.09,68.5
20-Sep-19,12,16,20,20,3,15,50.33,33,33,2,6.06,23.5
20-Sep-19,13,17,25,27,4,14.81,21.5,39,40,3,7.5,48.33
20-Sep-19,14,18,31,31,3,9.68,60,46,43,5,11.63,60.8
20-Sep-19,15,19,34,35,6,17.14,37.5,39,38,5,13.16,30.8
20-Sep-19,16,20,37,38,6,15.79,44.5,34,32,2,6.25,15
20-Sep-19,17,21,34,34,4,11.76,31.25,38,38,4,10.53,78
20-Sep-19,18,22,37,35,2,5.71,30.5,33,33,3,9.09,35
20-Sep-19,19,23,48,47,4,8.51,36,27,25,1,4,20
20-Sep-19,20,0,29,27,4,14.81,27.5,43,42,1,2.38,17
20-Sep-19,21,1,40,38,6,15.79,35.5,25,27,0,0,0
20-Sep-19,22,2,22,23,1,4.35,34,38,36,2,5.56,19.5
20-Sep-19,23,3,21,17,0,0,0,30,30,6,20,28.17
21-Sep-19,0,4,9,8,2,25,26.5,12,18,0,0,0
21-Sep-19,1,5,8,10,1,10,55,1,3,0,0,0
21-Sep-19,2,6,4,4,3,75,28.33,1,1,0,0,0
21-Sep-19,3,7,3,2,0,0,0,3,2,0,0,0
21-Sep-19,4,8,1,2,0,0,0,6,6,1,16.67,50
21-Sep-19,5,9,6,6,1,16.67,55,14,14,2,14.29,20.5
21-Sep-19,6,10,19,21,3,14.29,21,20,26,5,19.23,24.6
21-Sep-19,7,11,34,35,3,8.57,45.33,24,26,2,7.69,43
21-Sep-19,8,12,45,45,3,6.67,56,18,23,1,4.35,26
21-Sep-19,9,13,31,33,4,12.12,38,13,16,2,12.5,41.5
21-Sep-19,10,14,20,22,0,0,0,27,31,1,3.23,65
21-Sep-19,11,15,34,35,2,5.71,37.5,21,20,1,5,29
21-Sep-19,12,16,19,20,1,5,68,27,26,1,3.85,86
21-Sep-19,13,17,22,25,4,16,28,36,36,1,2.78,27
21-Sep-19,14,18,25,25,5,20,31.8,47,46,5,10.87,24.8
21-Sep-19,15,19,31,32,1,3.13,32,37,36,3,8.33,48.33
21-Sep-19,16,20,36,35,5,14.29,36,34,30,0,0,0
21-Sep-19,17,21,29,30,6,20,33.33,37,34,1,2.94,16
21-Sep-19,18,22,35,34,4,11.76,44.25,33,34,5,14.71,29.6
21-Sep-19,19,23,45,45,4,8.89,25.5,24,24,1,4.17,20
21-Sep-19,20,0,27,26,5,19.23,50,42,42,4,9.52,34.75
21-Sep-19,21,1,30,30,5,16.67,40.8,15,18,3,16.67,62.67
21-Sep-19,22,2,22,21,2,9.52,43,38,35,2,5.71,37.5
21-Sep-19,23,3,21,17,1,5.88,20,23,22,2,9.09,84.5
22-Sep-19,0,4,9,6,0,0,0,17,14,1,7.14,38
22-Sep-19,1,5,9,9,1,11.11,18,1,0,0,0,0
22-Sep-19,2,6,3,4,1,25,27,1,1,0,0,0
22-Sep-19,3,7,1,1,1,100,60,2,2,0,0,0
22-Sep-19,4,8,1,1,0,0,0,5,5,2,40,28
22-Sep-19,5,9,7,7,0,0,0,18,15,1,6.67,21
22-Sep-19,6,10,21,21,2,9.52,98,20,19,1,5.26,91
22-Sep-19,7,11,38,41,2,4.88,43,26,27,3,11.11,48.67
22-Sep-19,8,12,45,46,3,6.52,24.33,20,15,2,13.33,53.5
22-Sep-19,9,13,32,31,1,3.23,50,17,18,2,11.11,110.5
22-Sep-19,10,14,17,18,1,5.56,16,26,28,1,3.57,48
22-Sep-19,11,15,40,41,2,4.88,20,24,25,2,8,37.5
22-Sep-19,12,16,24,23,5,21.74,25.4,33,33,1,3.03,18
22-Sep-19,13,17,25,26,4,15.38,36,40,41,5,12.2,35.8
22-Sep-19,14,18,32,35,5,14.29,34.4,47,48,6,12.5,36.33
22-Sep-19,15,19,34,38,8,21.05,49,39,40,5,12.5,53
22-Sep-19,16,20,36,39,9,23.08,42.22,32,31,2,6.45,29.5
22-Sep-19,17,21,34,34,7,20.59,32.57,36,38,3,7.89,53
22-Sep-19,18,22,36,35,5,14.29,56.8,34,34,8,23.53,34.13
22-Sep-19,19,23,46,49,6,12.24,41.33,27,26,2,7.69,30.5
22-Sep-19,20,0,29,31,6,19.35,30.17,46,47,4,8.51,50.5
22-Sep-19,21,1,40,40,6,15,40.83,25,27,5,18.52,33.8
22-Sep-19,22,2,24,22,7,31.82,34.43,39,40,8,20,43.25
22-Sep-19,23,3,22,18,4,22.22,19.5,28,28,3,10.71,20
23-Sep-19,0,4,7,7,2,28.57,30,15,17,4,23.53,53.5
23-Sep-19,1,5,8,6,1,16.67,15,0,4,1,25,43
23-Sep-19,2,6,5,5,0,0,0,1,2,0,0,0
23-Sep-19,3,7,1,1,0,0,0,2,4,0,0,0
23-Sep-19,4,8,1,1,0,0,0,5,5,0,0,0
23-Sep-19,5,9,10,9,0,0,0,17,17,1,5.88,64
23-Sep-19,6,10,19,21,2,9.52,25.5,19,19,0,0,0
23-Sep-19,7,11,38,40,4,10,38.75,27,29,3,10.34,91
23-Sep-19,8,12,45,47,4,8.51,36.5,22,20,0,0,0
23-Sep-19,9,13,32,33,2,6.06,27,22,25,0,0,0
23-Sep-19,10,14,19,19,1,5.26,34,24,25,1,4,18
23-Sep-19,11,15,40,41,4,9.76,55.25,25,27,2,7.41,49.5
23-Sep-19,12,16,20,20,4,20,31.5,34,32,1,3.13,56
23-Sep-19,13,17,27,28,6,21.43,31,38,41,3,7.32,35.33
23-Sep-19,14,18,32,31,4,12.9,40.25,46,46,3,6.52,32.67
23-Sep-19,15,19,33,37,4,10.81,33.25,37,36,3,8.33,26.33
23-Sep-19,16,20,36,39,7,17.95,40.71,33,32,2,6.25,69
23-Sep-19,17,21,32,32,2,6.25,33.5,39,38,1,2.63,16
23-Sep-19,18,22,37,34,3,8.82,29.67,32,32,2,6.25,29
23-Sep-19,19,23,48,47,6,12.77,20.17,25,23,1,4.35,22
23-Sep-19,20,0,30,28,4,14.29,35,42,41,2,4.88,21.5
23-Sep-19,21,1,39,39,4,10.26,27.5,22,22,0,0,0
23-Sep-19,22,2,23,24,2,8.33,63.5,39,39,3,7.69,23.33
23-Sep-19,23,3,22,20,3,15,30,27,27,3,11.11,37
24-Sep-19,0,4,8,7,2,28.57,25.5,15,16,1,6.25,55
24-Sep-19,1,5,8,7,2,28.57,32,1,1,0,0,0
24-Sep-19,2,6,2,2,0,0,0,1,1,1,100,68
24-Sep-19,3,7,1,1,0,0,0,2,2,0,0,0
24-Sep-19,4,8,1,1,0,0,0,5,6,1,16.67,44
24-Sep-19,5,9,8,8,0,0,0,13,19,2,10.53,26.5
24-Sep-19,6,10,18,17,1,5.88,33,21,22,4,18.18,46
24-Sep-19,7,11,34,36,1,2.78,23,26,26,3,11.54,35
24-Sep-19,8,12,47,48,2,4.17,17,17,20,2,10,31.5
24-Sep-19,9,13,31,33,2,6.06,40,20,19,0,0,0
24-Sep-19,10,14,16,16,1,6.25,27,25,28,1,3.57,16
24-Sep-19,11,15,37,37,2,5.41,27,22,22,3,13.64,86.33
24-Sep-19,12,16,22,20,0,0,0,32,33,6,18.18,24
24-Sep-19,13,17,22,24,1,4.17,35,39,39,1,2.56,29
24-Sep-19,14,18,32,33,1,3.03,19,47,44,6,13.64,41.83
24-Sep-19,15,19,34,35,5,14.29,27.2,36,38,4,10.53,59.5
24-Sep-19,16,20,35,38,3,7.89,58.67,34,31,1,3.23,17
24-Sep-19,17,21,31,31,4,12.9,36.75,34,34,3,8.82,23.33
24-Sep-19,18,22,35,33,7,21.21,28.57,33,35,5,14.29,49.2
24-Sep-19,19,23,45,47,6,12.77,21.17,27,27,1,3.7,66
24-Sep-19,20,0,27,25,3,12,48,42,43,3,6.98,24.67
24-Sep-19,21,1,37,36,6,16.67,33,25,27,4,14.81,20.25
24-Sep-19,22,2,21,23,3,13.04,25.67,35,35,2,5.71,55
24-Sep-19,23,3,20,17,1,5.88,29,29,29,3,10.34,38.33
25-Sep-19,0,4,8,8,1,12.5,48,16,15,1,6.67,40
25-Sep-19,1,5,9,9,0,0,0,0,1,0,0,0
25-Sep-19,2,6,3,3,0,0,0,1,1,0,0,0
25-Sep-19,3,7,0,0,0,0,0,2,2,0,0,0
25-Sep-19,4,8,1,1,0,0,0,5,6,0,0,0
25-Sep-19,5,9,8,8,0,0,0,17,17,5,29.41,44.4
25-Sep-19,6,10,17,17,2,11.76,54.5,18,26,4,15.38,29.5
25-Sep-19,7,11,37,41,2,4.88,26,26,27,1,3.7,18
25-Sep-19,8,12,46,46,4,8.7,94,18,17,0,0,0
25-Sep-19,9,13,31,34,1,2.94,30,20,17,0,0,0
25-Sep-19,10,14,17,19,1,5.26,19,23,24,2,8.33,23
25-Sep-19,11,15,35,36,1,2.78,231,25,26,2,7.69,35
25-Sep-19,12,16,22,22,2,9.09,39.5,33,32,2,6.25,17.5
25-Sep-19,13,17,25,25,3,12,27.33,38,40,4,10,32.75
25-Sep-19,14,18,29,29,2,6.9,54.5,46,45,2,4.44,134
25-Sep-19,15,19,34,35,5,14.29,28.8,36,36,0,0,0
25-Sep-19,16,20,35,35,4,11.43,35.25,34,31,1,3.23,99
25-Sep-19,17,21,30,32,8,25,46.5,37,39,3,7.69,22.67
25-Sep-19,18,22,37,36,5,13.89,32.8,31,34,4,11.76,48
25-Sep-19,19,23,47,47,8,17.02,37.75,27,26,1,3.85,107
25-Sep-19,20,0,29,27,5,18.52,26.2,44,46,6,13.04,31.33
25-Sep-19,21,1,35,35,6,17.14,35.67,24,24,1,4.17,26
25-Sep-19,22,2,23,24,4,16.67,28,35,35,3,8.57,29.33
25-Sep-19,23,3,21,19,3,15.79,48.67,27,28,2,7.14,31.5
26-Sep-19,0,4,9,8,1,12.5,20,17,16,3,18.75,132.67
26-Sep-19,1,5,6,7,1,14.29,57,0,0,0,0,0
26-Sep-19,2,6,2,2,0,0,0,1,2,1,50,29
26-Sep-19,3,7,3,2,0,0,0,3,3,1,33.33,72
26-Sep-19,4,8,2,2,0,0,0,6,5,0,0,0
26-Sep-19,5,9,8,9,1,11.11,21,17,21,3,14.29,20.33
26-Sep-19,6,10,20,20,2,10,24,20,22,4,18.18,56.75
26-Sep-19,7,11,38,40,2,5,17,26,26,1,3.85,35
26-Sep-19,8,12,48,48,2,4.17,51.5,20,18,0,0,0
26-Sep-19,9,13,32,35,0,0,0,21,22,3,13.64,62.67
26-Sep-19,10,14,18,19,2,10.53,17.5,24,25,0,0,0
26-Sep-19,11,15,40,42,5,11.9,99.4,23,26,2,7.69,53.5
26-Sep-19,12,16,23,21,5,23.81,34,34,33,7,21.21,67.71
26-Sep-19,13,17,24,27,8,29.63,56.25,39,39,9,23.08,38.89
26-Sep-19,14,18,31,31,5,16.13,29,47,48,7,14.58,43.43
26-Sep-19,15,19,32,32,7,21.88,49.86,38,38,4,10.53,42.25
26-Sep-19,16,20,38,38,14,36.84,57,35,32,8,25,44.88
26-Sep-19,17,21,35,36,11,30.56,43.82,37,37,13,35.14,33.54
26-Sep-19,18,22,37,34,12,35.29,28.83,33,33,10,30.3,49.4
26-Sep-19,19,23,47,47,21,44.68,38.1,26,25,2,8,58
26-Sep-19,20,0,29,27,10,37.04,64.9,44,43,12,27.91,24.5
26-Sep-19,21,1,39,41,12,29.27,33.5,26,27,3,11.11,47.33
26-Sep-19,22,2,24,25,3,12,24.67,38,37,4,10.81,24.5
26-Sep-19,23,3,23,21,6,28.57,47.83,28,26,2,7.69,93
27-Sep-19,0,4,8,8,3,37.5,25.67,17,17,0,0,0
27-Sep-19,1,5,9,9,3,33.33,30,2,1,1,100,54
27-Sep-19,2,6,4,4,1,25,17,2,2,0,0,0
27-Sep-19,3,7,0,0,0,0,0,2,2,0,0,0
27-Sep-19,4,8,1,1,1,100,17,5,6,0,0,0
27-Sep-19,5,9,8,9,1,11.11,139,17,22,1,4.55,18
27-Sep-19,6,10,20,20,1,5,25,21,23,4,17.39,20.25
27-Sep-19,7,11,38,38,2,5.26,43.5,27,28,3,10.71,26
27-Sep-19,8,12,47,50,5,10,34.2,21,21,0,0,0
27-Sep-19,9,13,32,35,2,5.71,104,20,19,2,10.53,15.5
27-Sep-19,10,14,18,18,0,0,0,23,26,0,0,0
27-Sep-19,11,15,39,36,1,2.78,17,23,20,0,0,0
27-Sep-19,12,16,20,20,4,20,93.25,32,32,3,9.38,46
27-Sep-19,13,17,25,25,2,8,70,39,38,3,7.89,22.33
27-Sep-19,14,18,30,31,5,16.13,52,47,45,3,6.67,62
27-Sep-19,15,19,32,31,4,12.9,23.5,37,39,3,7.69,73.33
27-Sep-19,16,20,37,35,7,20,26.14,35,34,6,17.65,23.33
27-Sep-19,17,21,33,32,2,6.25,29,36,35,8,22.86,36.38
27-Sep-19,18,22,37,34,5,14.71,31,33,35,4,11.43,52
27-Sep-19,19,23,47,46,5,10.87,57.6,25,25,3,12,44.33
27-Sep-19,20,0,29,28,4,14.29,19,43,43,8,18.6,39.88
27-Sep-19,21,1,38,39,9,23.08,26.44,26,27,4,14.81,37.75
27-Sep-19,22,2,21,23,3,13.04,35.33,36,32,8,25,34.13
27-Sep-19,23,3,20,16,2,12.5,35,31,31,1,3.23,15
28-Sep-19,0,4,10,10,4,40,26.75,12,18,2,11.11,28.5
28-Sep-19,1,5,8,8,0,0,0,0,2,0,0,0
28-Sep-19,2,6,4,4,1,25,17,1,2,1,50,56
28-Sep-19,3,7,3,2,0,0,0,3,2,0,0,0
28-Sep-19,4,8,1,1,0,0,0,7,5,2,40,21
28-Sep-19,5,9,6,7,0,0,0,13,15,2,13.33,44
28-Sep-19,6,10,19,21,2,9.52,49.5,20,25,3,12,29.67
28-Sep-19,7,11,34,37,1,2.7,25,24,26,2,7.69,33.5
28-Sep-19,8,12,45,46,2,4.35,37,18,23,1,4.35,30
28-Sep-19,9,13,31,33,5,15.15,30.4,13,15,1,6.67,80
28-Sep-19,10,14,21,22,2,9.09,25,26,26,2,7.69,71
28-Sep-19,11,15,34,35,1,2.86,76,21,25,4,16,50.5
28-Sep-19,12,16,19,18,4,22.22,37,26,25,1,4,26
28-Sep-19,13,17,21,23,4,17.39,20.5,36,38,3,7.89,47.67
28-Sep-19,14,18,24,24,2,8.33,23,47,46,5,10.87,38.6
28-Sep-19,15,19,31,32,2,6.25,22,36,36,5,13.89,68.2
28-Sep-19,16,20,36,37,5,13.51,25,34,30,3,10,19
28-Sep-19,17,21,29,30,3,10,63,37,37,2,5.41,75
28-Sep-19,18,22,35,33,3,9.09,125.67,33,35,4,11.43,42.25
28-Sep-19,19,23,43,43,7,16.28,44.86,25,24,3,12.5,34.33
28-Sep-19,20,0,29,27,4,14.81,42.25,42,43,7,16.28,67.86
28-Sep-19,21,1,29,26,2,7.69,27,16,18,2,11.11,42
28-Sep-19,22,2,23,20,3,15,51.67,37,34,4,11.76,26.75
28-Sep-19,23,3,19,16,0,0,0,24,22,1,4.55,23
